effect_type,source_type,filename,descriptor,target_text,scale,orig_target_sim,manip_target_sim,delta_target_sim
eq,piano,piano_EQ_calm_0.6.wav,calm,a calm sound,0.6,0.22228351,0.20921491,-0.0130686015
eq,piano,piano_EQ_calm_0.8.wav,calm,a calm sound,0.8,0.22228351,0.1752558,-0.047027707
eq,piano,piano_EQ_calm_1.0.wav,calm,a calm sound,1.0,0.22228351,0.18362057,-0.03866294
eq,piano,piano_EQ_clear_0.2.wav,clear,a clear sound,0.2,0.12708372,0.13517962,0.008095905
eq,piano,piano_EQ_clear_0.4.wav,clear,a clear sound,0.4,0.12708372,0.13822198,0.01113826
eq,piano,piano_EQ_clear_0.6.wav,clear,a clear sound,0.6,0.12708372,0.15929049,0.032206774
eq,piano,piano_EQ_clear_0.8.wav,clear,a clear sound,0.8,0.12708372,0.14332898,0.01624526
eq,piano,piano_EQ_clear_1.0.wav,clear,a clear sound,1.0,0.12708372,0.18021864,0.05313492
eq,piano,piano_EQ_cold_0.2.wav,cold,a cold sound,0.2,0.072500594,0.066991895,-0.0055086985
eq,piano,piano_EQ_cold_0.4.wav,cold,a cold sound,0.4,0.072500594,0.070660226,-0.0018403679
eq,piano,piano_EQ_cold_0.6.wav,cold,a cold sound,0.6,0.072500594,0.03381899,-0.038681604
eq,piano,piano_EQ_cold_0.8.wav,cold,a cold sound,0.8,0.072500594,0.030784229,-0.041716367
eq,piano,piano_EQ_cold_1.0.wav,cold,a cold sound,1.0,0.072500594,0.063931994,-0.0085686
eq,piano,piano_EQ_cool_0.2.wav,cool,a cool sound,0.2,0.1422672,0.16873363,0.02646643
eq,piano,piano_EQ_cool_0.4.wav,cool,a cool sound,0.4,0.1422672,0.16787855,0.025611356
eq,piano,piano_EQ_cool_0.6.wav,cool,a cool sound,0.6,0.1422672,0.16558832,0.023321122
eq,piano,piano_EQ_cool_0.8.wav,cool,a cool sound,0.8,0.1422672,0.12843591,-0.013831288
eq,piano,piano_EQ_cool_1.0.wav,cool,a cool sound,1.0,0.1422672,0.13255659,-0.00971061
eq,piano,piano_EQ_crisp_0.2.wav,crisp,a crisp sound,0.2,0.07497585,0.082356386,0.0073805377
eq,piano,piano_EQ_crisp_0.4.wav,crisp,a crisp sound,0.4,0.07497585,0.06900118,-0.0059746653
eq,piano,piano_EQ_crisp_0.6.wav,crisp,a crisp sound,0.6,0.07497585,0.06670798,-0.008267865
eq,piano,piano_EQ_crisp_0.8.wav,crisp,a crisp sound,0.8,0.07497585,0.076816544,0.0018406957
eq,piano,piano_EQ_crisp_1.0.wav,crisp,a crisp sound,1.0,0.07497585,0.08029502,0.0053191707
eq,piano,piano_EQ_dark_0.2.wav,dark,a dark sound,0.2,0.12484822,0.13475755,0.009909332
eq,piano,piano_EQ_dark_0.4.wav,dark,a dark sound,0.4,0.12484822,0.1353933,0.01054509
eq,piano,piano_EQ_dark_0.6.wav,dark,a dark sound,0.6,0.12484822,0.15173206,0.02688384
eq,piano,piano_EQ_dark_0.8.wav,dark,a dark sound,0.8,0.12484822,0.16052316,0.035674945
eq,piano,piano_EQ_dark_1.0.wav,dark,a dark sound,1.0,0.12484822,0.15823483,0.033386618
eq,piano,piano_EQ_gentle_0.2.wav,gentle,a gentle sound,0.2,0.2086194,0.20182529,-0.00679411
eq,piano,piano_EQ_gentle_0.4.wav,gentle,a gentle sound,0.4,0.2086194,0.18164049,-0.02697891
eq,piano,piano_EQ_gentle_0.6.wav,gentle,a gentle sound,0.6,0.2086194,0.19831806,-0.010301337
eq,piano,piano_EQ_gentle_0.8.wav,gentle,a gentle sound,0.8,0.2086194,0.1791564,-0.029463008
eq,piano,piano_EQ_gentle_1.0.wav,gentle,a gentle sound,1.0,0.2086194,0.14295763,-0.06566177
eq,piano,piano_EQ_hard_0.2.wav,hard,a hard sound,0.2,0.0715271,0.076672986,0.005145885
eq,piano,piano_EQ_hard_0.4.wav,hard,a hard sound,0.4,0.0715271,0.08635005,0.014822952
eq,piano,piano_EQ_hard_0.6.wav,hard,a hard sound,0.6,0.0715271,0.118222564,0.046695463
eq,piano,piano_EQ_hard_0.8.wav,hard,a hard sound,0.8,0.0715271,0.10283829,0.03131119
eq,piano,piano_EQ_hard_1.0.wav,hard,a hard sound,1.0,0.0715271,0.10020273,0.02867563
eq,piano,piano_EQ_harsh_0.2.wav,harsh,a harsh sound,0.2,0.013870299,0.029735878,0.01586558
eq,piano,piano_EQ_harsh_0.4.wav,harsh,a harsh sound,0.4,0.013870299,0.03566388,0.021793582
eq,piano,piano_EQ_harsh_0.6.wav,harsh,a harsh sound,0.6,0.013870299,0.034669798,0.020799499
eq,piano,piano_EQ_harsh_0.8.wav,harsh,a harsh sound,0.8,0.013870299,0.029388022,0.015517723
eq,piano,piano_EQ_harsh_1.0.wav,harsh,a harsh sound,1.0,0.013870299,0.044503633,0.030633334
eq,piano,piano_EQ_heavy_0.2.wav,heavy,a heavy sound,0.2,0.045226313,0.058487892,0.013261579
eq,piano,piano_EQ_heavy_0.4.wav,heavy,a heavy sound,0.4,0.045226313,0.064840205,0.019613892
eq,piano,piano_EQ_heavy_0.6.wav,heavy,a heavy sound,0.6,0.045226313,0.050767466,0.0055411533
eq,piano,piano_EQ_heavy_0.8.wav,heavy,a heavy sound,0.8,0.045226313,0.0682775,0.023051187
eq,piano,piano_EQ_heavy_1.0.wav,heavy,a heavy sound,1.0,0.045226313,0.08939586,0.044169545
eq,piano,piano_EQ_loud_0.2.wav,loud,a loud sound,0.2,-0.008604157,-0.0010249056,0.007579251
eq,piano,piano_EQ_loud_0.4.wav,loud,a loud sound,0.4,-0.008604157,0.009586506,0.018190663
eq,piano,piano_EQ_loud_0.6.wav,loud,a loud sound,0.6,-0.008604157,0.012958701,0.021562858
eq,piano,piano_EQ_loud_0.8.wav,loud,a loud sound,0.8,-0.008604157,0.014506597,0.023110755
eq,piano,piano_EQ_loud_1.0.wav,loud,a loud sound,1.0,-0.008604157,0.055980016,0.06458417
eq,piano,piano_EQ_mellow_0.2.wav,mellow,a mellow sound,0.2,0.22615984,0.24048808,0.014328241
eq,piano,piano_EQ_mellow_0.4.wav,mellow,a mellow sound,0.4,0.22615984,0.24332407,0.01716423
eq,piano,piano_EQ_mellow_0.6.wav,mellow,a mellow sound,0.6,0.22615984,0.26101035,0.034850508
eq,piano,piano_EQ_mellow_0.8.wav,mellow,a mellow sound,0.8,0.22615984,0.2533159,0.027156055
eq,piano,piano_EQ_mellow_1.0.wav,mellow,a mellow sound,1.0,0.22615984,0.25737947,0.031219631
eq,piano,piano_EQ_peaceful_0.2.wav,peaceful,a peaceful sound,0.2,0.20157757,0.18683165,-0.014745921
eq,piano,piano_EQ_peaceful_0.4.wav,peaceful,a peaceful sound,0.4,0.20157757,0.1848397,-0.016737878
