effect_type,source_type,filename,descriptor,target_text,scale,orig_target_sim,manip_target_sim,delta_target_sim
eq,guitar,guitar_EQ_soothing_0.6.wav,soothing,a soothing sound,0.6,-0.04568297,0.027389541,0.07307251
eq,guitar,guitar_EQ_soothing_0.8.wav,soothing,a soothing sound,0.8,-0.04568297,0.055968642,0.10165161
eq,guitar,guitar_EQ_soothing_1.0.wav,soothing,a soothing sound,1.0,-0.04568297,0.05801979,0.10370276
eq,guitar,guitar_EQ_tinny_0.2.wav,tinny,a tinny sound,0.2,-0.014512883,0.023509499,0.03802238
eq,guitar,guitar_EQ_tinny_0.4.wav,tinny,a tinny sound,0.4,-0.014512883,0.0048183613,0.019331243
eq,guitar,guitar_EQ_tinny_0.6.wav,tinny,a tinny sound,0.6,-0.014512883,-0.017337307,-0.0028244248
eq,guitar,guitar_EQ_tinny_0.8.wav,tinny,a tinny sound,0.8,-0.014512883,-0.012199625,0.0023132572
eq,guitar,guitar_EQ_tinny_1.0.wav,tinny,a tinny sound,1.0,-0.014512883,-0.019468915,-0.004956032
eq,guitar,guitar_EQ_warm_0.2.wav,warm,a warm sound,0.2,0.0023867246,0.05440977,0.052023046
eq,guitar,guitar_EQ_warm_0.4.wav,warm,a warm sound,0.4,0.0023867246,0.0594488,0.057062075
eq,guitar,guitar_EQ_warm_0.6.wav,warm,a warm sound,0.6,0.0023867246,0.001139896,-0.0012468286
eq,guitar,guitar_EQ_warm_0.8.wav,warm,a warm sound,0.8,0.0023867246,0.008754576,0.006367851
eq,guitar,guitar_EQ_warm_1.0.wav,warm,a warm sound,1.0,0.0023867246,0.052756302,0.050369576
eq,piano,piano_EQ_bright_0.2.wav,bright,a bright sound,0.2,-0.014555391,-0.010935089,0.0036203023
eq,piano,piano_EQ_bright_0.4.wav,bright,a bright sound,0.4,-0.014555391,-0.04429635,-0.02974096
eq,piano,piano_EQ_bright_0.6.wav,bright,a bright sound,0.6,-0.014555391,-0.0068262126,0.0077291783
eq,piano,piano_EQ_bright_0.8.wav,bright,a bright sound,0.8,-0.014555391,-0.028946627,-0.014391236
eq,piano,piano_EQ_bright_1.0.wav,bright,a bright sound,1.0,-0.014555391,0.004294952,0.018850343
eq,piano,piano_EQ_calm_0.2.wav,calm,a calm sound,0.2,-0.074350044,-0.049696907,0.024653137
eq,piano,piano_EQ_calm_0.4.wav,calm,a calm sound,0.4,-0.074350044,-0.13057995,-0.056229904
eq,piano,piano_EQ_calm_0.6.wav,calm,a calm sound,0.6,-0.074350044,-0.09217053,-0.017820485
eq,piano,piano_EQ_calm_0.8.wav,calm,a calm sound,0.8,-0.074350044,-0.059961855,0.014388189
eq,piano,piano_EQ_calm_1.0.wav,calm,a calm sound,1.0,-0.074350044,-0.11326221,-0.038912162
eq,piano,piano_EQ_clear_0.2.wav,clear,a clear sound,0.2,-0.05263411,-0.0715483,-0.01891419
eq,piano,piano_EQ_clear_0.4.wav,clear,a clear sound,0.4,-0.05263411,-0.051102288,0.0015318207
eq,piano,piano_EQ_clear_0.6.wav,clear,a clear sound,0.6,-0.05263411,-0.052323937,0.0003101714
eq,piano,piano_EQ_clear_0.8.wav,clear,a clear sound,0.8,-0.05263411,-0.05253624,9.78671e-05
eq,piano,piano_EQ_clear_1.0.wav,clear,a clear sound,1.0,-0.05263411,0.0021930803,0.05482719
eq,piano,piano_EQ_cold_0.2.wav,cold,a cold sound,0.2,-0.06710567,-0.07987192,-0.0127662495
eq,piano,piano_EQ_cold_0.4.wav,cold,a cold sound,0.4,-0.06710567,-0.07498378,-0.00787811
eq,piano,piano_EQ_cold_0.6.wav,cold,a cold sound,0.6,-0.06710567,-0.03660904,0.030496635
eq,piano,piano_EQ_cold_0.8.wav,cold,a cold sound,0.8,-0.06710567,-0.09281948,-0.025713809
eq,piano,piano_EQ_cold_1.0.wav,cold,a cold sound,1.0,-0.06710567,-0.07691932,-0.009813644
eq,piano,piano_EQ_cool_0.2.wav,cool,a cool sound,0.2,0.01515233,0.031776264,0.016623935
eq,piano,piano_EQ_cool_0.4.wav,cool,a cool sound,0.4,0.01515233,-0.0009031594,-0.016055489
eq,piano,piano_EQ_cool_0.6.wav,cool,a cool sound,0.6,0.01515233,-0.002533326,-0.017685656
eq,piano,piano_EQ_cool_0.8.wav,cool,a cool sound,0.8,0.01515233,0.01137949,-0.00377284
eq,piano,piano_EQ_cool_1.0.wav,cool,a cool sound,1.0,0.01515233,0.03431894,0.01916661
eq,piano,piano_EQ_crisp_0.2.wav,crisp,a crisp sound,0.2,-0.08687637,-0.084391735,0.0024846345
eq,piano,piano_EQ_crisp_0.4.wav,crisp,a crisp sound,0.4,-0.08687637,-0.08838958,-0.0015132129
eq,piano,piano_EQ_crisp_0.6.wav,crisp,a crisp sound,0.6,-0.08687637,-0.09418032,-0.007303953
eq,piano,piano_EQ_crisp_0.8.wav,crisp,a crisp sound,0.8,-0.08687637,-0.091908365,-0.0050319955
eq,piano,piano_EQ_crisp_1.0.wav,crisp,a crisp sound,1.0,-0.08687637,-0.13716358,-0.05028721
eq,piano,piano_EQ_dark_0.2.wav,dark,a dark sound,0.2,0.07587323,0.10345499,0.027581759
eq,piano,piano_EQ_dark_0.4.wav,dark,a dark sound,0.4,0.07587323,0.09350469,0.017631456
eq,piano,piano_EQ_dark_0.6.wav,dark,a dark sound,0.6,0.07587323,0.08753331,0.011660077
eq,piano,piano_EQ_dark_0.8.wav,dark,a dark sound,0.8,0.07587323,0.1018019,0.025928669
eq,piano,piano_EQ_dark_1.0.wav,dark,a dark sound,1.0,0.07587323,0.113090344,0.03721711
eq,piano,piano_EQ_gentle_0.2.wav,gentle,a gentle sound,0.2,-0.0022354499,-0.014343789,-0.012108339
