effect_type,source_type,filename,descriptor,target_text,scale,orig_target_sim,manip_target_sim,delta_target_sim
eq,piano,piano_EQ_bright_0.2.wav,bright,a bright sound,0.2,0.037513796,0.035365146,-0.0021486506
eq,piano,piano_EQ_bright_0.4.wav,bright,a bright sound,0.4,0.037513796,0.03626483,-0.0012489669
eq,piano,piano_EQ_bright_0.6.wav,bright,a bright sound,0.6,0.037513796,0.038796615,0.0012828186
eq,piano,piano_EQ_bright_0.8.wav,bright,a bright sound,0.8,0.037513796,0.041977856,0.00446406
eq,piano,piano_EQ_bright_1.0.wav,bright,a bright sound,1.0,0.037513796,0.04408897,0.0065751746
eq,piano,piano_EQ_calm_0.2.wav,calm,a calm sound,0.2,0.036293097,0.0332536,-0.0030394979
eq,piano,piano_EQ_calm_0.4.wav,calm,a calm sound,0.4,0.036293097,0.039066628,0.0027735308
eq,piano,piano_EQ_calm_0.6.wav,calm,a calm sound,0.6,0.036293097,0.036442846,0.00014974922
eq,piano,piano_EQ_calm_0.8.wav,calm,a calm sound,0.8,0.036293097,0.0448091,0.008516002
eq,piano,piano_EQ_calm_1.0.wav,calm,a calm sound,1.0,0.036293097,0.05139489,0.015101794
eq,piano,piano_EQ_clear_0.2.wav,clear,a clear sound,0.2,0.06361234,0.06001388,-0.0035984628
eq,piano,piano_EQ_clear_0.4.wav,clear,a clear sound,0.4,0.06361234,0.06568338,0.002071038
eq,piano,piano_EQ_clear_0.6.wav,clear,a clear sound,0.6,0.06361234,0.06989768,0.0062853396
eq,piano,piano_EQ_clear_0.8.wav,clear,a clear sound,0.8,0.06361234,0.07605235,0.012440011
eq,piano,piano_EQ_clear_1.0.wav,clear,a clear sound,1.0,0.06361234,0.08333503,0.019722685
eq,piano,piano_EQ_cold_0.2.wav,cold,a cold sound,0.2,0.022144666,0.026042908,0.0038982425
eq,piano,piano_EQ_cold_0.4.wav,cold,a cold sound,0.4,0.022144666,0.03904345,0.016898783
eq,piano,piano_EQ_cold_0.6.wav,cold,a cold sound,0.6,0.022144666,0.053045288,0.030900622
eq,piano,piano_EQ_cold_0.8.wav,cold,a cold sound,0.8,0.022144666,0.06765497,0.0455103
eq,piano,piano_EQ_cold_1.0.wav,cold,a cold sound,1.0,0.022144666,0.086206764,0.064062096
eq,piano,piano_EQ_cool_0.2.wav,cool,a cool sound,0.2,-0.12664717,-0.12964194,-0.0029947609
eq,piano,piano_EQ_cool_0.4.wav,cool,a cool sound,0.4,-0.12664717,-0.12914367,-0.0024964958
eq,piano,piano_EQ_cool_0.6.wav,cool,a cool sound,0.6,-0.12664717,-0.13011794,-0.0034707636
eq,piano,piano_EQ_cool_0.8.wav,cool,a cool sound,0.8,-0.12664717,-0.13095659,-0.004309416
eq,piano,piano_EQ_cool_1.0.wav,cool,a cool sound,1.0,-0.12664717,-0.13070518,-0.0040580034
eq,piano,piano_EQ_crisp_0.2.wav,crisp,a crisp sound,0.2,0.0056078304,0.012523674,0.006915844
eq,piano,piano_EQ_crisp_0.4.wav,crisp,a crisp sound,0.4,0.0056078304,0.027022205,0.021414375
eq,piano,piano_EQ_crisp_0.6.wav,crisp,a crisp sound,0.6,0.0056078304,0.044492707,0.03888488
eq,piano,piano_EQ_crisp_0.8.wav,crisp,a crisp sound,0.8,0.0056078304,0.06914158,0.06353375
eq,piano,piano_EQ_crisp_1.0.wav,crisp,a crisp sound,1.0,0.0056078304,0.09512379,0.08951596
eq,piano,piano_EQ_dark_0.2.wav,dark,a dark sound,0.2,0.025754962,0.015699724,-0.010055238
eq,piano,piano_EQ_dark_0.4.wav,dark,a dark sound,0.4,0.025754962,0.007645908,-0.018109053
eq,piano,piano_EQ_dark_0.6.wav,dark,a dark sound,0.6,0.025754962,0.004040287,-0.021714676
eq,piano,piano_EQ_dark_0.8.wav,dark,a dark sound,0.8,0.025754962,0.001905839,-0.023849122
eq,piano,piano_EQ_dark_1.0.wav,dark,a dark sound,1.0,0.025754962,-0.0037575099,-0.029512472
eq,piano,piano_EQ_gentle_0.2.wav,gentle,a gentle sound,0.2,0.24020036,0.24253818,0.0023378283
eq,piano,piano_EQ_gentle_0.4.wav,gentle,a gentle sound,0.4,0.24020036,0.24586873,0.005668372
eq,piano,piano_EQ_gentle_0.6.wav,gentle,a gentle sound,0.6,0.24020036,0.2501714,0.0099710375
eq,piano,piano_EQ_gentle_0.8.wav,gentle,a gentle sound,0.8,0.24020036,0.25265327,0.012452915
